제목,본문
"마트 영업제한, 규제심판 1호로 논의…'의무휴업일' 폐지되나","



 국무조정실이 '대형마트 영업규제' 개선 방안을 규제심판회의 첫 안건으로 상정해 논의한다. 정부가 자정부터 오전 10시까지 영업 금지와 월 2회 강제 휴무 규제를 풀어달라는 대형마트 측 요청을 받아들일지 주목된다. 2일 국무조정실은 민간이 규제개선을 심의하는 '규제심판제도'를 오는 4일 첫 규제심판회의를 열어 가동한다고 밝혔다. 규제심판회의는 윤석열 정부에서 신설된 것으로, 민간전문가와 현장 활동가 등 100여명으로 구성된 규제심판부가 주축이 돼 각종 규제에 대한 개선 권고안을 만들 예정이다.부처간 이견으로 혁파되지 못한 규제를 민간전문가 등으로 구성된 규제심판부가 다시 한번 논의토록 한 것이다. 과거에는 부처가 불수용할 경우 규제 개혁은 중단됐지만 규제심판제도 도입으로 한번 더 조정이 가능해졌다. 규제심판부는 민간전문가와 현장활동가 풀(Pool) 100여명으로 구성돼있다. 규제의 종류에 따라 이 중 5명 내외의 전문가가 심판부를 구성해 의견을 듣게된다.부처가 규제 개선 건의를 받아들이면 맞는 제도 개선을 추진하고 부처가 불수용한 경우 심판부 총괄분과 검토를 거쳐 규제개혁위원회에 상정하게 된다. 규개위 권고에도 불구, 부처가 불수용하는 경우 필요시 대통령 주재 규제혁신전략회의에 상정해 개선방안을 확정한다.첫 규제심판회의에서는 대형마트 영업규제에 대한 이해관계자 등의 의견을 청취할 예정이다. 대형마트 의무휴업은 골목상권을 보호한다는 취지로 2012년에 도입되었다. 현재 매달 두 차례 의무 휴업을 시행하고 있으며 0시부터 오전 10시까지도 영업을 할 수 없다.  소비자 선택권 강화를 위해 규제를 풀자는 입장과 중소유통업·소상공인의 보호를 위해 유지해야한다는 상반된 입장이 팽팽히 맞섰던 이슈다.대형마트 영업규제를 1호 안건으로 채택한 것은 생활과 밀접해 국민적 관심도가 높다는 판단에서다. 대형마트 의무휴업 폐지는 대통령실이 진행한 '국민제안 TOP 10' 투표에서 57만7415표를 얻으며 1위를 기록하기도 했다. 다만, 투표에서 어뷰징(중복 전송) 문제가 드러나 상위 3건을 별도로 발표하지는 않았다.지난 6월 대한상의가 소비자 1000명을 대상으로 인식조사를 한 결과, 44.3%가 대형마트 영업규제에 대해 '불편만 가중한다'고 응답했다. 한국노총 전국이마트노동조합도 이날 성명서를 통해 ""대형마트가 의무휴업일이나 영업시간 제한에 상관없이 영업하며 국민 편의를 우선시 하도록 유통산업발전법을 개정해야 한다""고 밝혔다. 그러나 골목시장 상인들의 반발이 만만치 않아 쉽게 결과를 예단하긴 힘든 상황이다.대형마트 영업제한 규제 외에 휴대폰 추가 지원금 상한폐지, 반영구 의료인시술 허용, 렌터카 차종 확대 등 민감한 이슈도 의제에 올라 곧 논의된다.  단말기 유통법에는 휴대폰 대리점 또는 판매점은 해당 이동통신사업자 공시지원금의 15% 이내에서만 추가지원금 지급 가능하도록 규정하고 있는데 상한을 폐지해달라는 요구가 있었다. 하지만 국민 필수품이 된 스마트폰 판매 과잉경쟁과 판매점마다 차별적인 혜택이 우려돼 이 같은 규제가 나왔다. 대형마트 영업규제 이슈만큼이나 뜨거운 찬반 토론이 예상된다.이정원 국무조정실 국무2차장은 ""규제심판 제1의 성공요건은 충분히 듣는 것""이라고 강조하면서 ""건의자, 이해관계자, 부처 등이 합의할 수 있을 때까지 회의를 몇 번이고 개최해 균형 있는 결과를 도출할 수 있도록 적극 지원하겠다""고 밝혔다. [이지용 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
"지분 10억 이상 대주주, 이달까지 양도세 신고","올해 상반기에 주식을 양도한 상장법인 대주주는 오는 31일까지 양도소득세를 신고·납부해야 한다. 국세청은 ""상장법인 대주주 등 7042명에게 문자메시지나 카카오톡, 우편으로 양도세 예정 신고 안내문을 발송한다""고 2일 밝혔다. 양도세 신고·납부 대상이 되는 상장법인 대주주 요건은 국내 상장 종목 주식 보유액이 10억원 이상 혹은 보유 지분율이 코스피 1% 이상, 코스닥 2% 이상, 코넥스 4% 이상이다. 장외주식시장(K-OTC)에서 거래되는 비상장법인 주주도 신고·납부 대상이다.국세청은 ""지난해 말 기준으로 본인과 배우자 등 특수관계인의 지분율이나 시가총액이 대주주 요건을 충족한 경우와 올해 상반기 주식 취득으로 요건을 충족해 대주주가 된 경우가 대상이 된다""고 전했다. [김정환 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
"조폐공사, 미니골드 상품권 출시…NFT로 거래","한국조폐공사가 ""금 1g을 10개로 쪼개서 살 수 있는 대체불가토큰(NFT) 기반의 미니골드 상품권을 출시했다""고 2일 밝혔다.금 투자자가 조폐공사 쇼핑몰에 접속해 미니골드(0.1g) 상품권을 구입하면 개인비밀번호(PIN)가 발급된다. 발급 사이트에 접속해 PIN 번호를 입력하고 신청하면 NFT 골드교환권을 발급받을 수 있다. NFT 골드교환권 10장을 모으면 실물 제품인 카드형 골드바 1g으로 교환할 수 있는 구조다.NFT골드교환권을 발급받을 수 있는 미니골드 상품권 판매가격은 1만 4900원이다. 반장식 조폐공사 사장은 ""실물 기반의 디지털 미니골드 상품권은 안전하고 소액 거래가 가능하다는 장점이 있다""며 ""소액으로 금 거래가 가능하기 때문에 국민들 선물 문화에도 긍정적인 영향을 미칠 것""이라고 말했다.[김정환 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
대기업 사업 어디로 뻗어나갔나보니…운송·헬스케어·패션미용 확장,"


 지난 3개월 동안 대기업들이 가장 적극적으로 사업을 확장한 분야는 운송, 헬스케어, 패션·미용 분야였던 것으로 나타났다.2일 공정거래위원회는 이같은 내용의 5~7월 대규모기업집단 소속회사 변동 현황을 발표했다.전체 대기업집단 76곳의 계열사는 2886개로 집계됐다. 지난 4월말과 같은 수를 유지했다.다만 새로운 회사 설립이나 지분 취득을 통해 71개사가 새롭게 계열에 편입됐다. 흡수합병과 지분 매각을 통해 71개사는 계열에서 제외됐다.운송, 헬스케어, 패션·미용 분야에서 활발한 사업 확대가 이뤄진 게 특징이다. SK는 공항버스 회사인 서울공항리무진, 카카오는 주차장 운영업체인 KM파크를 인수했다. LS는 전기차 충전업체인 LS이링크를 신규 설립했다.LG는 홈피트니스 콘텐츠 업체인 피트니스캔디를 신설했다. 롯데는 건강관리 솔루션 업체인 롯데헬스케어와 의약품제조사 롯데바이오로직스를 설립했다.코오롱은 패션제조업체인 KOA, 애경은 화장품 제조사 원씽을 인수했다.경영 효율성 확대와 사업 경쟁력 강화를 위한 유사 사업 계열사 간의 흡수합병도 활발했다. 롯데는 빙과류 제조업체인 롯데푸드를 과자류 제조업체인 롯데제과에, 광고대행업체인 모비?미디어를 계열 내 다른 광고대행업체인 엠허브에 각각 흡수합병했다.카카오는 헬스케어 플랫폼 회사인 네오젠소프트를 인수해 카카오헬스케어에 통합시켰다. 웹툰·웹소설 제작사인 와이낫미프로덕션도 인수한 이후 관련 계열사인 삼양씨앤씨에 흡수합병했다. KT는 스팸 전화 탐지·차단 사업을 하는 후후앤컴퍼니를 신용카드 결제인증 업체인 브이피에 합병시켰다. 크래프톤은 앱 개발사인 비트윈어스를 콘텐츠 플랫폼 회사 띵스플로우에 흡수합병했다.친족·임원독립경영이 인정돼 기업집단에서 빠진 사례도 다수 있었다. LG 소속 LX홀딩스 등 12개사, 금호아시아나 소속 삼화고속 등 7개사가 친족의 독립적인 경영을 이유로 계열에서 분리됐다. 중흥건설 소속 세진종합건설, 농심 소속 HC 제16호 등 2개사도 같은 이유로 계열에서 제외됐다.SK 소속 행복담은네모 등 3개사, GS 소속 아트벤처스, SM 소속 현대건축사사무소는 임원독립경영을 인정받아 해당 기업집단에서 빠졌다.[백상경 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
"일본 중앙은행, 국민 관심 부족으로 CBDC 도입 계획 보류 등","



 일본 중앙은행, 국민 관심 부족으로 CBDC 도입 계획 보류핀볼드에 따르면 일본 중앙은행(BOJ)이 국민의 관심 부족으로 CBDC 도입 계획을 보류하기로 했다고 밝혔다. 은행은 ""신용카드, 인터넷뱅킹 서비스 등의 인기로 인해 CBDC에 대한 관심도가 높지않다. 가까운 미래에 CBDC를 도입할 계획은 없다""고 전했다. 미디어는 ""다수의 일본 소비자가 포인트 적립 등 혜택이 있는 기업 기반 결제 툴을 매력적으로 평가했다""고 설명했다. 지난해 4월 일본 중앙은행은 CBDC 발행 관련 기술적 타당성 조사 분석을 실시한 바 있다. 해당 작업은 올해 3월까지 진행됐으며, 최근에는 2단계 조사를 시작한다고 밝혔다. 미디어는 필요하다고 판단될 경우 민간기업과 이용자가 참여하도록 계획됐던 3단계 프로젝트는 무기한 보류된 것으로 보인다고 전했다.롯데홈쇼핑, 8월 중 벨리곰 NFT 1만개 발행뉴스핌에 따르면 롯데홈쇼핑이 오는 17, 18일 벨리곰 NFT의 1만개를 발행(민팅)한다. 17일에는 사전 예약된 고객(화이트리스트)을 대상으로, 18일에는 일반고객을 대상으로 발행한다. 롯데홈쇼핑은 지난 5월 동영상으로 제작한 벨리곰 NFT를 발행한 바 있다. 하지만 2차 거래가 불가능했고, 오프라인에서 보유자들이 받을 수 있는 혜택이 전무해 큰 인기를 끌지 못했다. 이번에 발행되는 NFT는 오픈씨에서 2차 거래가 가능하다. 거래 암호화폐는 클레이튼이다. 벨리곰 홈페이지에 따르면 NFT 보유자 전용 벨리곰 굿즈 제공 및 한정 세일 등 혜택이 주어질 예정이다. 또 롯데월드에서 줄을 서지 않아도 되는 '벨리 패스', 보유자들 간 '벨리 파티' 등이 진행될 예정이다.SK, AMD·컨센시스 합작사 'W3B클라우드' 투자더구루에 따르면 SK그룹 투자전문 지주사인 SK㈜가 기업인수목적회사(SPAC·스팩) 합병을 통해 미국 증시 상장을 추진하는 블록체인 컴퓨팅 인프라 스타트업 W3B클라우드(W3BCLOUD)에 투자한다. W3B클라우드는 1일(현지시간) SK, AMD, 콘센시스 등 투자자들과 상장 지분에 대한 5000만 달러(약 650억원) 규모의 투자 약정을 맺었다고 밝혔다. W3B클라우드는 이날 뉴욕증권거래소(NYSE)에 상장한 스팩인 소셜레버리지애퀴지션(Social Leverage Acquisition·SLAC)과 합병 계약을 체결했다. 합병 기업의 가치는 12억5000만 달러(약 1조6300억원)로 평가했다. 오는 4분기 합병을 완료할 예정이다. W3B클라우드는 웹3의 탈중앙 경제를 지원하는 스토리지와 컴퓨팅 인프라 서비스를 제공하는 스타트업이다. AMD, 이더리움 블록체인 솔루션 업체 컨센시스가 지난 2018년 합작 투자해 설립했다.메타디움, 디안트보르트와 메타버스 디지털 관광 프로젝트 협업서울파이낸스에 따르면, 메타디움(META)이 글로벌 브랜드 마케팅 전문기업 디안트보르트와 파트너십을 체결했다고 2일 밝혔다. 이를 통해 메타디움은 '무스토이 트래블러스 클럽' NFT(대체불가토큰) 프로젝트와의 협업을 추진할 계획이다. 무스토이 트래블러스 클럽은 여행자들을 위한 '여행하며 돈 버는'(Travel 2 Earn) 모델을 진행하고 있는 NFT 프로젝트다. 이번 파트너십을 시작으로 메타디움은 자체 신원인증 DID 기술과 여행증명(PoT) 방식의 데이터를 블록체인에 기록, 메타버스 관광 플랫폼 및 오프라인 리테일 매장에서 디파이 보증금 결제, 멤버십 증명 및 혜택 제공 등에 활용할 수 있도록 구현한다는 계획이다. 코인마켓캡 기준 META는 현재 4.63% 오른 0.04137 달러에 거래되고 있다.코인베이스 프라임, 미국 기관 대상 ETH 스테이킹 서비스 제공코인베이스 프라임이 공식 블로그를 통해 미국 기관 고객을 위한 이더리움(ETH) 스테이킹 서비스를 추가했다고 밝혔다. 미국 기관은 해당 플랫폼의 콜드 스토리지를 이용해 ETH을 스테이킹할 수 있다. 이밖에 솔라나(SOL), 폴카닷(DOT), 코스모스(ATOM), 테조스(XTZ), 셀로(CELO)에 대한 스테이킹 서비스도 제공한다는 설명이다.분석 ""ETH 선물 백워데이션 발생.. 머지 이전 '에어드랍 랠리' 가능성""12월 만기 이더리움 선물가격이 현물가격보다 낮은 백워데이션이 일어났지만 ETH 랠리 가능성은 여전히 높다고 코인텔레그래프가 보도했다. 보통 선물가격이 현물가격보다 높은 콘탱고가 해당 자산 가격에 대해 투자자들이 낙관적임을 시사하지만, 백워데이션이 일어났다고 해서 반드시 가격이 하락하는 건 아니다. 일례로 비트코인은 6월 말 백워데이션이 일어났지만 이후 반등에 성공했다. 제네시스 트레이딩 기관 대출 담당 부사장 Roshun Patel은 ""12월 만기 이더리움 선물이 이더리움 하드포크 가능성으로 인해 백워데이션으로 바뀌었고, 이는 동시에 트레이더들이 9월 머지(PoS 전환)에 앞서 현물 ETH 매수에 나서도록 유인하고 있다. 또 트레이더들은 12월 선물계약에 대해 약세 포지션을 취함으로써 현물 가격 상승 리스크를 상쇄할 수 있다""고 설명했다. 머지 이후 이더리움이 PoW(작업증명) 체인과 PoS(지분증명) 체인으로 찢어지게 될 경우 에어드랍을 받기 위해서는 ETH 현물을 가지고 있어야 한다.앱토스, 인센티브 테스트넷2 종료.. 메인넷 가을 출시전 메타 직원들이 설립한 블록체인 스타트업 앱토스(Aptos)가 공식 미디엄을 통해 인센티브 테스트넷2(AIT20) 종료 소식과 함께 테스트넷3, 메인넷 출시 계획을 알렸다. 이에 따르면 AIT2에는 225개 노드가 테스트에 참여했으며, 앱토스는 일정 조건을 충족하는 사용자에 토큰 보상을 지급할 예정이다. 향후 앱토스의 테스트넷과 메인넷 출시 일정은 ▲8월 19일 AIT3 등록 ▲8월 30일 AIT3 론칭 ▲9월 AIT3 종료 ▲가을 메인넷 론칭 ▲겨울 AIT4 등록이다.소시오스닷컴, FC 바르셀로나 바르카 스튜디오 지분 25% 인수스페인 프로축구 구단 FC바르셀로나가 산하 프로덕션 부문인 바르카 스튜디오(Barca Studios)의 지분 25%를 1억200만 달러에 칠리즈(CHZ) 산하 스포츠 토큰 플랫폼 소시오스닷컴에 매각했다. 알렉산드라 드레이퍼스(Alexandre Dreyfus) 칠리즈 CEO가 트위터에 이 소식을 전했다.바이낸스, BAB 토큰 출시.. KYC 사용자 자격 증명코인텔레그래프에 따르면 바이낸스는 탈중앙 사회(DeSoc)의 신원 문제를 해결하기 위한 바이낸스 어카운트 바운드(BAB) 토큰 출시를 발표했다. BAB 토큰은 BNB 스마트체인에서 발행되는 최초의 소울바운드 토큰(SBT)으로, 초기에는 KYC(신원인증) 사용자 자격 증명 목적으로만 사용된다. BAB 토큰은 온라인 식별 목적으로만 발행되며, 일종의 소울바운드 토큰(SBT)에 속한다. 비탈릭 부테린 이더리움 설립자가 제안한 SBT는 DeSoc을 위해 설계된 양도 불가능한 비금융 속성의 토큰이다. BAB 토큰은 봇 방지, NFT 드랍, 투표 등 다양한 목적으로 제3자 프로토콜에서도 사용 가능하다. KYC를 통과한 바이낸스 사용자는 바이낸스 지갑에서 직접 BAB를 민팅할 수 있다. 앞서 코인니스는 바이낸스가 2021년 8월 KYC 인증을 의무화한 이후 고객의 90%와 수십억 달러를 잃었다고 전한 바 있다.록밴드 뮤즈, 폴리곤 플랫폼서 새 앨범 NFT 발매디크립트에 따르면 영국 록밴드 뮤즈(Muse)가 폴리곤 기반 NFT 플랫폼 세레나데(Serenade)에서 새 앨범 'Will of the People' NFT를 한정판으로 발매한다. 발매일은 8월 26일이다. 세레나데에서는 암호화폐 지갑 없이 직불카드, 신용카드로 NFT를 구매할 수 있다.[코인니스 제공][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
"한은 ""물가 예상했던 수준""…기준금리 0.25%포인트 인상 수순갈 듯","



 통계청에서 발표한 7월 소비자물가 상승률이 2개월 연속 6%대 오름세를 나타내자 한국은행이 '물가 상황 점검회의'를 개최했다.이환석 한은 부총재보는 1일 오전 서울 중구 한은 삼성본관에서 열린 물가 상황 점검회의를 주재한 자리에서 최근의 물가 흐름에 대해 ""7월 소비자물가 상승률이 6월에 이어 6%대를 나타냈다""며 ""이는 지난달 금융통화위원회 정례회의 당시 예상에 부합하는 수준""이라고 말했다. 회의에는 조사국장, 경제통계국장, 물가분석부장, 부공보관,조사총괄팀장, 물가동향팀장이 참석했다.통계청이 이날 발표한 7월 소비자물가동향에 따르면 지난달 소비자물가지수는 108.74(2020=100)로 전년 동월 대비 6.3%  상승해 또다시 1998년 외환위기 이후 최고치를 기록했다.지난 6월 6.0% 상승률을 기록한데 이어 2개월 연속 6%대 상승률이다. 소비자물가 상승률이 2개월 연속 6%대를 기록한 것 역시 23년 8개월 만에 처음이다.이 부총재보는 ""물가 상승 속도는 상반기에 비해 다소 완만해졌으나 높은 오름세가 이어지고 있다""며 ""앞으로도 소비자물가는 기대인플레이션이 높아진 가운데 고유가 지속, 수요 측 물가 압력 증대 등으로 당분간 6%를 웃도는 오름세를 이어갈 것으로 예상된다""고 내다봤다. 그러면서 ""향후 물가경로 상에는 우크라이나 사태 전개 양상, 유가 등 국제 원자재 가격 추이, 태풍, 폭염 등 여름철 기상여건 등을 둘러싼 불확실성이 높은 상황""이라고 진단했다.



 앞서 전날 이창용 한은 총재는 여의도 국회에서 열린 기획재정위원회 업무보고에서 ""앞으로도 높은 물가 오름세가 당분간 지속될 것으로 전망되므로, 기준금리 인상 기조를 이어나갈 필요가 있다""며 ""현재로서는 기준금리를 0.25%포인트씩 점진적으로 인상하는 것이 적절할 것으로 판단한다""고 말했다.다만, 물가와 성장 흐름이 기존 한은의 전망 경로를 크게 벗어나지 않는다는 점을 전제로 이같은 수준의 금리 인상 폭을 시사했다. 만약 물가가 예상했던 기조에서 벗어날 경우 기준금리를 한꺼번에 0.5%포인트 인상하는 빅스텝 가능성을 배제할 수는 없다고도 밝혔다. 기준금리를 결정하는 한은 금통위는 오는 25일이다.[전종헌 매경닷컴 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
"""혹시나 했는데 또 대출권유""…이것 해놓으면 이젠 5년간 안온다","



 #직장인 A씨는 시도 때도 없이 울리는 대출, 보험가입 안내 등의 광고성 전화와 문자에 시달리고 있다. 하지만 일일이 모든 금융회사에 전화해 이를 중단시킬 시간적 여유가 없어 난처한 상황이다.A씨와 같은 불편을 겪고 있다면 '두낫콜(Do Not Call)' 서비스를 신청하자. 올 하반기부터는 이 서비스 신청 시 은행 대출권유부터 보험, 저축은행 등 전체 금융사의 연락을 한번에 수신 거부할 수 있다. 단, 휴대폰 번호가 변경됐을 경우 다시 신청해야 한다.'전체 업권 일괄 등록' 기능을 통해 한 번에 일괄 수신 거부를 하더라도, 일부 금융회사의 마케팅 광고를 받아 볼 수 있다. '두낫콜 철회' 메뉴에서 해당 금융기관이 속한 업권의 '상세보기'를 클릭하면 개별적으로 수신 허용 여부 선택이 가능하다.2년마다 해야 하던 재등록 주기도 5년으로 확대됐다. 유효 기간 중 수신 거부 의사를 철회하려면 '두낫콜 철회' 메뉴에서 수신 거부 의사를 등록하는 것과 동일한 방식으로 철회할 수 있다.금융위원회 관계자는 ""방문판매법 적용대상에서 금융상품이 제외되는 개정된 방판법이 오는 12월 시행되는 것을 앞두고 소비자피해를 줄이기 위해 마련했다""며 ""두낫콜에 수신거부 의사를 등록한 후 의도치 않게 다른 사이트에서 개별적으로 수신 동의해도, 기존 설정대로 수신거부의사가 유지될 수 있도록 관련 기능 등을 추가할 것""이라고 말했다.[류영상 매경닷컴 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
7월 소비자물가 상승률 6.3%…외환위기 이래 가장 높아,"



 7월 소비자물가 상승률이 6.3%를 기록하며 23년 8개월 만에 최고 수준으로 상승했다. 유가가 하락하면서 석유류 등의 상승폭은 둔해졌으나, 외식 등 개인서비스와 농축수산물 가격이 급등하면서 전월 상승률(6.0%)을 웃돌았다.2일 통계청은 '7월 소비자물가동향'을 통해 지난달 소비자물가지수가 108.74를 기록했다고 밝혔다. 이는 지난 2020년을 기준치(100)로 잡았을 때 수치로 1년 전 같은 달보다 6.3% 상승했다는 의미다.7월 소비자물가 상승률은 외환위기 당시였던 지난 1998년 11월(6.8%) 이후 가장 높은 수준이다. 소비자물가 상승률이 두 달 연속으로 6%를 넘어선 것도 1998년 10월(7.2%)과 11월(6.8%) 이후 처음이다.소비자물가 상승률은 작년 10월 3%대에 진입했고, 올해 3월(4.1%)과 4월(4.8%) 4%대를 기록했다. 이후 5월 5.4%, 6월 6.0% 순으로 지속 상승했다.품목별로는 공업제품과 개인 서비스가 물가 상승을 견인했다.공업제품은 석유류가 35.1%, 가공식품이 8.2% 각각 오르면서 8.9% 상승했다. 석유류의 상승률은 올해 들어 처음으로 전월(39.6%)보다 상승 폭이 둔화했고, 가공식품 중에서는 빵(12.6%)이 큰 폭으로 올랐다.



 농축수산물은 7.1% 상승했다. 올해 3월에는 0.4%까지 내려가기도 했으나, 다시 오름폭을 키웠다. 농축수산물의 상승세를 견인한 건 채소류(25.9%)였다. 세부적으로는 배추 72.7%, 오이 73.0%, 상추 63.1%, 파 48.5% 등 순으로 나타났다.지난달 공공요금이 인상되고 전기·가스·수도도 15.7% 상승하며 전월(9.6%)보다 크게 올랐다. 조사가 시작된 지난 2010년 1월 이래 가장 높은 상승률이다.개인서비스는 지난 1998년 4월(6.6%) 이후 가장 높은 상승률을 보였다. 외식이 8.4%, 외식 외 개인서비스가 4.3% 오르며 지난달 상승률은 6.0%로 집계됐다.체감물가를 의미하는 생활물가지수는 7.9% 상승했다. 농산물과 석유류를 제외한 근원물가 상승률은 4.5%를 기록했다. 근원물가 동향은 물가의 전반적인 흐름을 의미한다.어운선 통계청 경제동향통계심의관은 ""석유류 등 공업제품과 외식 등 개인 서비스 가격이 높은 오름세를 지속했다""며 ""채소 등 농축수산물과 전기·가스·수도 요금도 오름세가 확대됐다""고 설명했다.이어 ""물가의 높은 상승세는 국제유가 급등 등 대외적 요인에 기인한 측면이 많지만, 최근 들어 이런 대외적 불안 요인들이 조금 완화하는 조짐을 보인다""며 올해 연간 물가에 대해 ""5%는 넘을 것 같다""고 덧붙였다.[이상현 매경닷컴 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
"""하이닉스 용수난 현장 가봤나""…장관 질타한 與 반도체 특위","



 ""장관님, 현장에 가보기는 했습니까.""반도체지원법을 논의하는 당정 협의에서 여주시의 공업용수 지원 반대로 발목이 잡힌 SK하이닉스의 '용인 반도체 클러스터' 사업과 관련해 질타의 목소리가 나왔다. 여당 반도체특위에서 이창양 산업통상자원부 장관과 유제철 환경부 차관에게 ""상생 방안을 직접 챙기라""며 특단의 지시를 내린 것이다. 권성동 국민의힘 대표 직무대행 겸 원내대표 등 여당 지도부와 양향자 반도체특위 위원장은 1일 박순애 교육부 장관, 이창양 장관, 유제철 차관 등이 참석한 가운데 '반도체산업 경쟁력 강화를 위한 당정정책협의회'를 열었다. 이날 당정협의회는 양 위원장이 반도체특위에서 논의한 안건을 기반으로 발의한 '반도체산업경쟁력강화법'(국가첨단전략산업법 개정안·조세특례제한법 개정안)을 공개하고 정부에 부처 간 칸막이 없는 정책 추진을 당부하기 위해 마련된 자리였다.그런데 이 자리에서 용인 하이닉스 반도체 클러스터의 용수난에 대한 여당의 거센 질타가 있었다. 반도체특위 부위원장을 맡고 있는 은 매일경제 보도를 언급하며 이 장관과 유 차관에게 ""대통령의 반도체 지원 지시 이후 용수난 점검을 위해 해당 현장을 가봤냐""고 물었는데 관련 부처 장관들이 ""가보지 못했다""고 답했기 때문이다. 송 의원은 매일경제와 통화에서 ""여주 쪽에서 물을 받게 되면 여주에선 관로 설치에 따라 농업용수가 고갈되거나 개발이 제한되는 등 불이익만 받게 된다""며 ""물을 받는 쪽은 취업이나 세수나 여러 이득이 있지만 성장 과실을 하나도 나눠 받지 못하는 쪽은 불만이 생길 수밖에 없다""고 말했다. 송 의원은 ""조속한 반도체 생산을 위해 지방자치단체 간 첨예한 이해 대립도 자체에서 해결되지 못하면 장관들이 직접 챙기라는 게 대통령 지시의 취지 아니냐""며 ""범정부적 해결 노력을 장차관들에게 요청한 것""이라고 설명했다.여주시에 따르면 용인 반도체 클러스터가 하루에 필요로 하는 공업용수는 57만3000t 수준이다.  [이지용 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
"넉달째 무역적자, 덫에 걸린 한국","◆ 무역적자 덫에 걸린 한국 ◆지난달 무역수지가 46억7000만달러 적자를 기록하면서 4개월 연속 적자 사태가 현실화했다. 넉 달 연속 무역적자를 기록한 것은 글로벌 금융위기 파고가 덮쳤던 2008년 6~9월 이후 14년 만이다. 우리 경제의 핵심 동력인 무역 엔진에 비상등이 켜진 것이다.수출 증가율은 한 자릿수로 떨어지면서 두 달째 둔해졌다. 특히 한국 수출의 견인차 역할을 하는 반도체 부문의 수출 증가율이 2021년 3월(8.6%) 이후 16개월 만에 한 자릿수대로 떨어져 하반기 수출 전선에 먹구름이 드리웠다는 분석이 나온다. 1일 산업통상자원부는 이 같은 내용의 7월 수출입 동향 자료를 발표했다.지난달 수출은 전년 동기 대비 9.4% 증가한 607억달러로 21개월 연속 증가세를 이어갔다. 역대 7월 기준으로는 가장 많은 액수로, 종전 최고 기록이었던 지난해 7월 554억6000만달러를 훌쩍 뛰어넘었다. 하지만 수출보다 큰 폭으로 증가한 수입이 발목을 잡았다. 국제 에너지·원자재 가격이 고공행진을 거듭하면서 지난달 수입은 21.8% 늘어난 653억6900만달러를 기록했다. 수입액은 지난 3월을 기점으로 5개월 연속 600억달러대를 유지하고 있다.수입이 더 가파르게 늘면서 지난달 무역수지는 46억7000만달러 적자를 기록했다. 월간 기준 역대 최악이었던 지난 1월 49억달러 적자에 근접한 숫자로, 역대 2위에 해당하는 기록이다. 지난 4월 -24억8000만달러, 5월 -16억1000만달러, 6월 -25억7000만달러에 이어 벌써 4개월 연속 마이너스 행보를 이어가고 있다.우리나라의 최대 교역국인 중국의 실적 악화도 영향을 미쳤다. 대(對)중국 무역수지는 5억7000만달러 적자를 내면서 30년 만에 3개월 연속 적자의 늪에 빠졌다. 코로나19 봉쇄로 현지 경기가 침체하면서 수출이 2.5% 감소한 영향이 컸다.전체 수출액 증가세가 꾸준히 유지되고 있지만 하반기 상황을 낙관하긴 어렵다는 지적이 나온다. 수출 1위 품목인 반도체 수출의 증가세가 한풀 꺾일 조짐이 감지되면서다. 반도체 수출은 2020년 6월(-0.03%) 이후 25개월 만에 가장 낮은 증가율을 기록했다. 정인교 인하대 국제통상학과 교수는 ""수출 증가세는 지속적으로 둔해지고 있으며, 앞으로의 상승 모멘텀도 크게 보이지 않는다""며 ""유가가 떨어질 가능성이 매우 희박한 상황에서 하반기에도 무역적자가 당분간 이어질 수밖에 없을 것""이라고 전망했다.정부는 무역적자를 타개하기 위한 종합대책을 조만간 공개할 방침이다. 이창양 산업부 장관은 ""6월 이후 수출증가율이 한 자릿수에 머물며 수출 성장세 둔화와 무역적자 확대에 대한 우려가 커지고 있다""면서 ""8월 중 규제 개선과 주요 업종별 특화지원 방안을 망라한 종합수출대책을 발표할 계획""이라고 말했다. [백상경 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
        
					


"
